symbol,date,price,volume,carry
CL.V.0,2015-01-01,54.55,1043942.0,
GC.V.0,2015-01-01,1184.5,1043942.0,
PL.V.0,2015-01-01,1213.5,1043942.0,
RB.V.0,2015-01-01,1.4924,1043942.0,
CL.V.0,2015-01-02,52.81,1039767.0,2.12
GC.V.0,2015-01-02,1186.3,1039767.0,2.12
GF.V.0,2015-01-02,223.95,1039767.0,2.12
HE.V.0,2015-01-02,81.4,1039767.0,2.12
HG.V.0,2015-01-02,2.8375,1039767.0,2.12
LE.V.0,2015-01-02,166.0,1039767.0,2.12
PL.V.0,2015-01-02,1204.7,1039767.0,2.12
RB.V.0,2015-01-02,1.443,1039767.0,2.12
SI.V.0,2015-01-02,15.665,1039767.0,2.12
ZC.V.0,2015-01-02,396.25,1039767.0,2.12
ZL.V.0,2015-01-02,32.05,1039767.0,2.12
ZM.V.0,2015-01-02,340.4,1039767.0,2.12
ZR.V.0,2015-01-02,11.54,1039767.0,2.12
ZS.V.0,2015-01-02,1002.25,1039767.0,2.12
CL.V.0,2015-01-04,52.22,1039767.0,
GC.V.0,2015-01-04,1183.8,1039767.0,
HG.V.0,2015-01-04,2.8105,1039767.0,
PL.V.0,2015-01-04,1201.3,1039767.0,
RB.V.0,2015-01-04,1.4321,1039767.0,
SI.V.0,2015-01-04,15.75,1039767.0,
CL.V.0,2015-01-05,50.08,1039767.0,2.03
GC.V.0,2015-01-05,1203.2,1039767.0,2.03
GF.V.0,2015-01-05,223.9,1039767.0,2.03
HE.V.0,2015-01-05,79.85,1039767.0,2.03
HG.V.0,2015-01-05,2.7685,1039767.0,2.03
LE.V.0,2015-01-05,166.425,1039767.0,2.03
PL.V.0,2015-01-05,1213.4,1039767.0,2.03
RB.V.0,2015-01-05,1.3761,1039767.0,2.03
SI.V.0,2015-01-05,16.16,1039767.0,2.03
ZC.V.0,2015-01-05,406.25,1039767.0,2.03
ZL.V.0,2015-01-05,32.83,1039767.0,2.03
ZM.V.0,2015-01-05,354.4,1039767.0,2.03
ZR.V.0,2015-01-05,11.62,1039767.0,2.03
ZS.V.0,2015-01-05,1045.25,1039767.0,2.03
CL.V.0,2015-01-06,47.95,1039767.0,1.96
GC.V.0,2015-01-06,1216.3,1039767.0,1.96
GF.V.0,2015-01-06,221.425,1039767.0,1.96
HE.V.0,2015-01-06,78.475,1039767.0,1.96
HG.V.0,2015-01-06,2.7615,1039767.0,1.96
LE.V.0,2015-01-06,166.05,1039767.0,1.96
PL.V.0,2015-01-06,1220.0,1039767.0,1.96
RB.V.0,2015-01-06,1.3468,1039767.0,1.96
SI.V.0,2015-01-06,16.465,1039767.0,1.96
ZC.V.0,2015-01-06,405.0,1039767.0,1.96
ZL.V.0,2015-01-06,32.83,1039767.0,1.96
ZM.V.0,2015-01-06,355.7,1039767.0,1.96
ZR.V.0,2015-01-06,11.61,1039767.0,1.96
ZS.V.0,2015-01-06,1056.25,1039767.0,1.96
CL.V.0,2015-01-07,48.57,1039767.0,1.98
GC.V.0,2015-01-07,1212.5,1039767.0,1.98
GF.V.0,2015-01-07,220.9,1039767.0,1.98
HE.V.0,2015-01-07,79.3,1039767.0,1.98
HG.V.0,2015-01-07,2.7645,1039767.0,1.98
LE.V.0,2015-01-07,166.05,1039767.0,1.98
PL.V.0,2015-01-07,1220.4,1039767.0,1.98
RB.V.0,2015-01-07,1.337,1039767.0,1.98
SI.V.0,2015-01-07,16.575,1039767.0,1.98
ZC.V.0,2015-01-07,396.25,1039767.0,1.98
ZL.V.0,2015-01-07,33.11,1039767.0,1.98
ZM.V.0,2015-01-07,354.2,1039767.0,1.98
ZR.V.0,2015-01-07,11.625,1039767.0,1.98
ZS.V.0,2015-01-07,1055.75,1039767.0,1.98
CL.V.0,2015-01-08,49.33,1039767.0,2.03
GC.V.0,2015-01-08,1208.2,1039767.0,2.03
GF.V.0,2015-01-08,216.55,1039767.0,2.03
HE.V.0,2015-01-08,78.95,1039767.0,2.03
HG.V.0,2015-01-08,2.77,1039767.0,2.03
LE.V.0,2015-01-08,163.35,1039767.0,2.03
PL.V.0,2015-01-08,1220.7,1039767.0,2.03
RB.V.0,2015-01-08,1.3581,1039767.0,2.03
SI.V.0,2015-01-08,16.375,1039767.0,2.03
ZC.V.0,2015-01-08,394.75,1039767.0,2.03
ZL.V.0,2015-01-08,33.68,1039767.0,2.03
ZM.V.0,2015-01-08,346.9,1039767.0,2.03
ZR.V.0,2015-01-08,11.525,1039767.0,2.03
ZS.V.0,2015-01-08,1047.75,1039767.0,2.03
CL.V.0,2015-01-09,48.21,1045154.0,2.04
GC.V.0,2015-01-09,1223.4,1045154.0,2.04
GF.V.0,2015-01-09,212.55,1045154.0,2.04
HE.V.0,2015-01-09,78.625,1045154.0,2.04
HG.V.0,2015-01-09,2.7595,1045154.0,2.04
LE.V.0,2015-01-09,160.6,1045154.0,2.04
PL.V.0,2015-01-09,1233.5,1045154.0,2.04
RB.V.0,2015-01-09,1.3207,1045154.0,2.04
SI.V.0,2015-01-09,16.52,1045154.0,2.04
ZC.V.0,2015-01-09,400.25,1045154.0,2.04
