date,symbol,root,settle
2015-01-01,CL.V.0,CL,54.55
2015-01-01,GC.V.0,GC,1184.5
2015-01-01,PL.V.0,PL,1213.5
2015-01-01,RB.V.0,RB,1.4924
2015-01-02,CL.V.0,CL,52.81
2015-01-02,GC.V.0,GC,1186.3
2015-01-02,GF.V.0,GF,223.95
2015-01-02,HE.V.0,HE,81.4
2015-01-02,HG.V.0,HG,2.8375
2015-01-02,LE.V.0,LE,166.0
2015-01-02,PL.V.0,PL,1204.7
2015-01-02,RB.V.0,RB,1.443
2015-01-02,SI.V.0,SI,15.665
2015-01-02,ZC.V.0,ZC,396.25
2015-01-02,ZL.V.0,ZL,32.05
2015-01-02,ZM.V.0,ZM,340.4
2015-01-02,ZR.V.0,ZR,11.54
2015-01-02,ZS.V.0,ZS,1002.25
2015-01-04,CL.V.0,CL,52.22
2015-01-04,GC.V.0,GC,1183.8
2015-01-04,HG.V.0,HG,2.8105
2015-01-04,PL.V.0,PL,1201.3
2015-01-04,RB.V.0,RB,1.4321
2015-01-04,SI.V.0,SI,15.75
2015-01-05,CL.V.0,CL,50.08
2015-01-05,GC.V.0,GC,1203.2
2015-01-05,GF.V.0,GF,223.9
2015-01-05,HE.V.0,HE,79.85
2015-01-05,HG.V.0,HG,2.7685
2015-01-05,LE.V.0,LE,166.425
2015-01-05,PL.V.0,PL,1213.4
2015-01-05,RB.V.0,RB,1.3761
2015-01-05,SI.V.0,SI,16.16
2015-01-05,ZC.V.0,ZC,406.25
2015-01-05,ZL.V.0,ZL,32.83
2015-01-05,ZM.V.0,ZM,354.4
2015-01-05,ZR.V.0,ZR,11.62
2015-01-05,ZS.V.0,ZS,1045.25
2015-01-06,CL.V.0,CL,47.95
2015-01-06,GC.V.0,GC,1216.3
2015-01-06,GF.V.0,GF,221.425
2015-01-06,HE.V.0,HE,78.475
2015-01-06,HG.V.0,HG,2.7615
2015-01-06,LE.V.0,LE,166.05
2015-01-06,PL.V.0,PL,1220.0
2015-01-06,RB.V.0,RB,1.3468
2015-01-06,SI.V.0,SI,16.465
2015-01-06,ZC.V.0,ZC,405.0
2015-01-06,ZL.V.0,ZL,32.83
2015-01-06,ZM.V.0,ZM,355.7
2015-01-06,ZR.V.0,ZR,11.61
2015-01-06,ZS.V.0,ZS,1056.25
2015-01-07,CL.V.0,CL,48.57
2015-01-07,GC.V.0,GC,1212.5
2015-01-07,GF.V.0,GF,220.9
2015-01-07,HE.V.0,HE,79.3
2015-01-07,HG.V.0,HG,2.7645
2015-01-07,LE.V.0,LE,166.05
2015-01-07,PL.V.0,PL,1220.4
2015-01-07,RB.V.0,RB,1.337
2015-01-07,SI.V.0,SI,16.575
2015-01-07,ZC.V.0,ZC,396.25
2015-01-07,ZL.V.0,ZL,33.11
2015-01-07,ZM.V.0,ZM,354.2
2015-01-07,ZR.V.0,ZR,11.625
2015-01-07,ZS.V.0,ZS,1055.75
2015-01-08,CL.V.0,CL,49.33
2015-01-08,GC.V.0,GC,1208.2
2015-01-08,GF.V.0,GF,216.55
2015-01-08,HE.V.0,HE,78.95
2015-01-08,HG.V.0,HG,2.77
2015-01-08,LE.V.0,LE,163.35
2015-01-08,PL.V.0,PL,1220.7
2015-01-08,RB.V.0,RB,1.3581
2015-01-08,SI.V.0,SI,16.375
2015-01-08,ZC.V.0,ZC,394.75
2015-01-08,ZL.V.0,ZL,33.68
2015-01-08,ZM.V.0,ZM,346.9
2015-01-08,ZR.V.0,ZR,11.525
2015-01-08,ZS.V.0,ZS,1047.75
2015-01-09,CL.V.0,CL,48.21
2015-01-09,GC.V.0,GC,1223.4
2015-01-09,GF.V.0,GF,212.55
2015-01-09,HE.V.0,HE,78.625
2015-01-09,HG.V.0,HG,2.7595
2015-01-09,LE.V.0,LE,160.6
2015-01-09,PL.V.0,PL,1233.5
2015-01-09,RB.V.0,RB,1.3207
2015-01-09,SI.V.0,SI,16.52
2015-01-09,ZC.V.0,ZC,400.25
2015-01-09,ZL.V.0,ZL,33.66
2015-01-09,ZM.V.0,ZM,349.1
2015-01-09,ZR.V.0,ZR,11.545
2015-01-09,ZS.V.0,ZS,1052.25
2015-01-11,CL.V.0,CL,47.69
